,smiles,BBBP,group
0,FC(F)(Cl)C(F)(F)Cl,1,training
1,CC(C)O,1,training
2,CC(=O)c1ccc2c(c1)N(CC(C)N(C)C)c1ccccc1S2,1,test
3,Cc1oc(=O)oc1COC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,0,training
4,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1,training
5,CN(C)CCN(C)n1cc(-c2ccccc2)c2ccccc21,1,training
6,BrC(Br)Br,1,valid
7,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1,training
8,O=C(CCCN1CCN2CCCC2C1)c1ccc(F)cc1,1,training
9,CCCCCC(C)C(C)c1cc(OC(=O)CCCN2CCCCCC2)c2c(c1)OC(C)(C)C1=C2CC(C)CC1,1,training
10,O=C(CN1CCCC1=O)NNC(=O)CN1CCCC1=O,1,training
11,CNC1(c2ccccc2Cl)CCCCC1=O,1,training
12,CO[C@@]1(NC(=O)C(C(=O)O)c2ccsc2)C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@@H]21,0,training
13,C1CC1,1,training
14,CC1(C)S[C@@H]2[C@H](NC(=O)CCC[C@@H](N)C(=O)O)C(=O)N2[C@H]1C(=O)O,0,training
15,CCC1(c2ccccc2)NC(=O)N(C)C1=O,1,training
16,CCN(CC)CCOC1(c2ccc(Cl)cc2)CCCCC1,1,training
17,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,1,training
18,COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1,1,training
19,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1,1,training
20,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1,1,valid
21,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,0,valid
22,C=CC1(C(C)CCC)C(=O)NC(=O)NC1=O,1,training
23,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,1,training
24,C#C[C@]1(O)CC[C@H]2[C@H]3[C@H](CC[C@@]21C)C1=C(CC(=O)CC1)C[C@H]3C,1,training
25,FC(F)OC(F)C(F)(F)F,1,training
26,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,1,test
27,CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,1,test
28,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,1,training
29,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,0,training
30,CCC(Br)(CC)C(=O)NC(N)=O,1,training
31,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1,training
32,O=C1C=CC=C/C1=C1/NN=CO1,1,training
33,NC(=O)c1cnccn1,1,training
34,c1ccc2oc(-c3ccncc3)cc2c1,1,training
35,COCOC(=O)C1N2C(=O)C(N3C(=O)C(c4ccc(O)cc4)NC3(C)C)C2SC1(C)C,0,test
36,Cc1cc(CCN2CCN(c3cccc(Cl)c3)CC2)n[nH]1,1,training
37,CN1CCN(C(=O)OC2C3=C(SCCS3)C(=O)N2c2ccc3ccc(Cl)nc3n2)CC1,1,training
38,OCCCOc1cccc(CN2CCCCC2)c1,1,test
39,CN1CC2c3ccccc3Oc3ccc(Cl)cc3C2C1,1,valid
40,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,0,training
41,C=C1c2c(Cl)ccc(O)c2C(O)=C2C(=O)C3(O)C(=O)/C(=C(/N)O)C(=O)C(N(C)C)C3C(O)C12,0,training
