,smiles,Mutagenicity,group
0,O=[N+]([O-])c1ccc(/C=N/c2snc3ccccc23)o1,1,training
1,C=CC(=O)OCCO,0,training
2,CCCCCCCCC=O,0,training
3,O=C1CCCc2c1ccc1c2ccc2ccccc21,1,training
4,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,0,training
5,c1ccc2c(c1)-c1cc3ccccc3c3cc4c(c-2c13)CCCC4,1,test
6,c1ccc2c(c1)cc1c3c2ccc2cccc(c23)C1,1,training
7,CNC(=O)Oc1cccc2ccccc12,1,training
8,CCN(C)N=O,1,training
9,CCC1CO1,1,training
10,CC(Br)(CO)CBr,0,test
11,ClCc1cccc2c1-c1cccc3cccc-2c13,1,training
12,Cc1ccc(-c2nc3ccccc3o2)cc1,0,training
13,Cc1ncc([NH+]([O-])O)n1C,1,training
14,ClCCNCCCl,1,training
15,CCCCCCCC(=O)CCc1ccc(O)c(OC)c1,0,test
16,OC1=C(O)C23CCCCC2(O3)c2cc3ccc4ccccc4c3nc21,0,training
17,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,0,training
18,CCOC(=O)CC(C)=O,0,training
19,CCCON(OC(C)=O)C(=O)c1ccccc1,1,training
20,CS/C(C)=N\OC(=O)N(C)N=O,1,training
21,COc1c2ccoc2cc2oc(=O)ccc12,1,training
22,CC(=O)Nc1cc(N=Nc2ccc(C)c(NC(C)=O)c2)ccc1C,0,training
23,NC(=O)/C(=C\c1ccc([N+](=O)[O-])o1)c1ccco1,1,training
24,O=C1OC(=O)c2cc([NH+]([O-])O)ccc21,1,test
25,Nc1ccccc1C(=O)OC1CCCCC1,0,training
26,Cc1cc(N)ccc1N,1,valid
27,CN(Cc1cccc(Br)c1)N=O,1,training
28,O=S(=O)(O)ONNCCc1ccccc1,1,training
29,CCCCC(CC)COC(=O)c1ccc(N(C)C)c([N+](=O)[O-])c1,1,test
30,Cc1ccc2ccc3c4ccccc4cc4ccc1c2c43,1,training
31,O=C(NC(Cc1cc(O)nc2ccccc12)C(=O)O)c1ccc(Cl)cc1,0,training
32,Cc1ccccc1N=Nc1c(O)ccc2ccccc12,1,training
33,COc1cc(N)c2c(c1N)C(=O)c1ccccc1C2=O,1,training
34,Cc1c2c(c(C)c3ccccc13)C1OC1c1ccccc1-2,1,training
35,O=Nc1ccc2ccc3c4ccccc4cc4ccc1c2c43,1,training
36,C(=C/c1cccc(/C=C/c2ccccc2)c1)\c1ccccc1,0,training
37,CCOc1ccccc1OCC1CNCCO1,0,test
38,O=C1O[C@@H](O)C(C(Cl)Cl)=C1Cl,1,test
39,Fc1cccc(F)n1,0,training
40,COc1cc2nc3occc3c(OC)c2cc1OC,1,training
41,c1cc2sncc2cc1OCC1CO1,1,test
42,O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl,0,training
43,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,1,training
44,COC(=O)c1ccccc1O,1,training
45,NC(=O)Nc1cccc2cccnc12,0,training
46,OCCS,0,training
47,COC(=O)c1ccc(CN(C)N=O)cc1,0,test
48,COc1c2ccccc2[n+]([O-])c2occc12,0,training
49,CN(C)CCCNc1c2ccccc2nc2c(Cl)ccc([N+](=O)[O-])c12,1,test
50,O=NN(CCO)CCCCO,1,test
51,[O-][NH+](O)c1ccccc1Cl,1,training
52,Cc1ccc(/N=C/c2cccc3cccnc23)c(C(=O)O)c1,0,training
53,C/C=C1\C[C@@H]2C=C[C@H]1C2,0,test
54,C=C(C)C1CCC(=C)C2C3=C(CC(C)(O)C3=O)C(=O)C(C)=CC12,0,training
55,CC1=CC2=C(C=O)C(=O)[C@](C)(O)[C@H](O)C2=CO1,1,training
56,COc1c(O)c2c(c3cc(C(=O)N4CCc5c4c(O)c(OC)c4[nH]c(C(=O)N6CC7CC78C6=CC(=O)c6[nH]cc(C)c68)cc54)[nH]c13)CCN2C(N)=O,0,training
57,OC1c2cccc3ccc4cc5ccccc5c(c4c23)C1O,1,training
58,O=C(O)c1cccnc1,0,training
59,CCC/C=C(\C=O)CC,0,training
60,O[C@H]1C=Cc2cc3c(cc2[C@@H]1O)-c1cccc2cccc-3c12,1,training
61,CN(C)CCCN=c1c2ccccc2[nH]c2c(Cl)ccc([N+](=O)[O-])c12,1,training
62,Cc1ccc2nsc(NC(=O)C(Cl)(Cl)Cl)c2c1,1,valid
63,O=[N+]([O-])c1ccc2nc3c(cc2c1)-c1cccc2cccc-3c12,1,valid
64,Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O,1,training
65,c1ccc2c(c1)Nc1ccccc1S2,0,valid
66,Cn1c(N)nc2nc3cnccc3cc21,1,training
67,COC(=O)[C@]12O[C@@]1(C)[C@@](C)(O)OC2=O,1,valid
68,O=c1c2ccc(OCC3CO3)cc2sn1CC1CO1,1,training
69,CNc1cc(Oc2ccc(N)cc2)ncn1,1,training
70,CC(=O)Nc1ccc(/C=C/C(=O)c2ccccc2)cc1,1,training
71,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0,training
72,CC(C)(C)OC(=O)C=Cc1ccc([N+](=O)[O-])o1,1,training
73,Nc1ccc(-c2ccc(N)c(O)c2)cc1O,1,test
74,Nc1ccc(/C=C/c2ccccc2)cc1,1,valid
75,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N(CC(=O)O)C1Cc2ccccc2C1,0,training
76,c1ccc(-c2ccc([C@@H]3CO3)cc2)cc1,1,training
77,O=C(O)CC[N+](=O)[O-],1,training
78,FC(F)OC(Cl)C(F)(F)F,0,training
79,Cn1c(N)nc2ccc3ncccc3c21,1,training
80,O=[N+]([O-])c1ccc2ccc3ccccc3c2c1,1,training
81,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1,1,training
82,ONc1cc2ccccc2[nH]1,1,training
83,O=[N+]([O-])c1ccc2c(ccc3c4ccccc4ccc23)c1,1,training
84,O=C1Nc2ccc([NH+]([O-])O)cc2C1=O,1,training
85,COP(=S)(OC)SCC(=O)N(C)C=O,0,training
86,Cc1ccc(N)c(O)c1,1,training
87,Cc1ccc(N)cc1[NH+]([O-])O,1,training
88,O=CNc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,1,training
89,C=C1C[C@@]23CCC4[C@@](C)(CCC[C@@]4(C)C(=O)O)C2CCC1(OC(C)=O)C3,0,training
90,CCCC(=O)OCc1ccccc1[N+](=O)[O-],0,valid
91,OCc1c2ccccc2c(CO)c2c1ccc1ccccc12,1,training
92,Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)cc1S(=O)(=O)O,0,training
93,c1ccc2c(c1)ccc1nc3c(ccc4ccccc43)cc12,1,training
94,CC1=CC[C@@H]2C(C)=CC[C@@H](C(C)C)[C@H]2C1,0,training
95,Cc1ccc(N(CCCl)CCCl)cc1,0,training
96,CCCCC(C)C(OC(=O)CC(CC(=O)O)C(=O)O)C(CC(C)CCCCCCC(O)CC(O)C(C)N)OC(=O)CC(CC(=O)O)C(=O)O,0,training
97,c1ccc2ccccc2c1,0,training
98,C[C@]12CC[C@H]3[C@@H](CC=C4NC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2OC(=O)CCCc1ccc(N(CCCl)CCCl)cc1,1,training
99,CCCCNc1snc2ccccc12,0,training
100,O=NN1CCC=C(C(=O)O)C1,1,training
101,OC1C=Cc2c(ccc3cc4c5c(ccc4cc23)C(O)C(O)C=C5)C1O,0,training
102,CCCC(=O)Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1OC(=O)CCC,0,test
103,CC(C)n1c(C=CC(O)CC(O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,0,test
104,CCC(CCC(C)O)COC(=O)c1ccccc1C(=O)O,0,training
105,O=[N+]([O-])c1ccc2ccc3cc4ccccc4c4ccc1c2c34,1,test
106,COc1cc2c(c3c(C)cc4ccccc4c13)CCC2=O,1,training
107,CC(C)OP(C)(=O)F,0,training
108,Nc1ccc(Cc2ccc(N)cc2)cc1,1,valid
109,CCc1c(O)ccc2c3c([nH]c12)[C@](CC)(CC(=O)O)OCC3,1,training
110,CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0,training
111,CCOc1ccc(NC(=O)C[C@@H](C)O)cc1,1,training
112,c1ccc2c(c1)-c1cccc3cc4ccccc4c-2c13,1,training
113,O=C(/C=C/c1ccc(O)cc1)c1ccccc1,0,training
114,CC(=O)OC1Cc2c(C)ccc3cc4c(ccc5ccccc54)c1c23,1,test
115,Fc1ccc2ncccc2c1,1,training
116,O=C(Nc1cccc(Cl)c1)c1csc([N+](=O)[O-])c1,1,valid
117,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0,training
118,Cc1ccc2[nH]c(N)nc2c1,1,test
119,CC(C)N=C=NC(C)C,0,test
120,CC(C)CCOC(=O)CC(C)C,0,training
121,C[C@H]1CN(N=O)[C@H](C)CN1N=O,1,training
122,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,0,training
123,O=C(O)CCC(=O)Nc1cc(Cl)c(Cl)c(Cl)c1,0,training
124,c1ccc2nc3c4ccccc4c4ccccc4c3cc2c1,1,training
125,Oc1ccc(C2(c3ccc(O)cc3)CCCCC2)cc1,0,training
126,Cc1c(C(=O)O)cccc1[N+](=O)[O-],1,training
127,O=C1C=CC(=O)c2c(O)cccc21,1,valid
128,COCc1c(O)cc2c(c1O)C(=O)c1ccccc1C2=O,1,training
129,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,0,training
130,OC1C=Cc2c(ccc3c4c(ccc23)CCC4)C1O,1,test
131,O=[N+]([O-])c1cccc(-c2ccccc2)c1O,0,test
132,N#[N+][N-]CC(=O)O,0,training
133,Nc1nc[nH]n1,0,training
134,CNC1Cc2cccc3cccc(c23)C1,1,training
135,C1COCCN1,0,training
136,Nc1nc(O)nc2c1ncn2C1CC(O)C(CO)O1,0,training
137,NC(CCCCNCC(N)C(=O)O)C(=O)O,0,training
138,CC(=O)c1ccc([NH+]([O-])O)[nH]1,1,training
139,CC(C)NCC(O)COc1cccc2c1OCC(O)C2,0,training
140,O=C1c2ccccc2C(=O)c2c(O)cc(O)cc21,1,training
141,Nc1nc(NO)c2ncn(C3OC(CO)C(O)C3O)c2n1,1,training
142,Nc1ncnc2c1ncn2C(c1ccccc1)(c1ccccc1)c1ccccc1,1,test
143,CC(C)=CCCC(C)CCO,0,training
144,[O-][NH+](O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0,training
145,O=P(O)(NCCCO)N(CCCl)CCCl,1,training
146,O=C(O)/C=C/c1cccc([N+](=O)[O-])c1,1,training
147,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,0,valid
148,CN(C)CCCN1c2ccccc2CCc2ccccc21,0,training
149,O=S1(=O)CC=CC1,0,training
150,O=c1ccc(=O)[nH][nH]1,1,training
151,CSCCC(NC(=O)C(N)Cc1c[nH]c2ccccc12)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,0,training
152,Cn1ccc2ccc3ccc4ccc(O)cc4c3c21,1,training
153,COC(=O)c1ccc(C=Nn2nnc3c([nH]c4ccccc43)c2=O)cc1,1,training
154,Cc1cccc(C)c1[NH+]([O-])O,1,training
155,CCNC(=O)/C=C/c1ccc([N+](=O)[O-])o1,1,training
156,[O-][NH+](O)c1ccc2c(c1)Cc1ccccc1-2,1,training
157,O=C1N=C(O)CN1N=CC=Cc1ccc([N+](=O)[O-])o1,1,training
158,O=C1C=C(CCl)CO1,1,valid
159,O=C(Nc1ccc(Br)cc1)c1csc([N+](=O)[O-])c1,1,test
160,Nc1c(/N=N/c2ccc([NH+]([O-])O)cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(/N=N/c3ccccc3)c(O)c12,1,training
161,CN(N=O)c1cccnc1,0,training
162,CCCCC(CC)C(=O)O,0,training
163,Clc1ccnc2ccccc12,1,training
164,CNC(=O)N(C)N=O,1,training
165,CC1(C)CCCC2(C)C1CCC1(C)C(C=O)C(C=O)=CCC12,0,training
166,CCc1cc(Cc2cc(C)c(N)c(CC)c2)cc(C)c1N,0,training
167,O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl,1,test
168,O=C1c2ccccc2C(=O)c2c1ccc([C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c2O,1,training
169,O=C(/C=C/c1ccc(Br)cc1)c1ccccc1,0,training
170,C=CC(N)=O,0,training
171,C[N+](C)(C)CCNCCc1ccc(N=Nc2ccc([N+](=O)[O-])cc2Cl)cc1,1,training
172,Cc1cccc(N=Nc2c(O)ccc3ccccc23)c1C,0,training
173,O=S(=O)(Cc1ccccc1)N1C2c3ccccc3-c3ccccc3C21,1,training
174,O=C/C(Cl)=C(\Cl)C(=O)O,1,training
175,Cc1cccc(O)c1C,0,training
176,C/C=C/CC,0,training
177,CC1C=C(C=O)C(C=O)=CC2(O)CC(C)(C)CC12,1,training
178,c1ccc2c(c1)cc1ccc3cc4ccccc4c4ccc2c1c34,1,training
179,O=C(Cl)c1ccc(C(=O)Cl)cc1,1,training
180,COc1nsc2c(OCC3CO3)cccc12,1,training
181,COC(=O)[C@]12O[C@@]1(C)[C@@](C)(O)NC2=O,1,training
182,O=NN1CCCC1,1,test
183,Cc1c2ccccc2c(C)c2c3c(ccc12)C(=O)C(=O)C=C3,0,training
184,OC[C@@H]1CO[C@@H](CCI)O1,1,training
185,Cn1c(NO)nc2ncc(-c3ccccc3)cc21,1,test
186,O=C(O)c1c(Br)c(Br)c(Br)c(Br)c1C(=O)O,0,training
187,CCCCC(C=O)CC,0,training
188,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,0,training
189,Nc1ccc(C(=O)O)cc1,0,training
190,CCCCOC(=O)/C=C\C(=O)OCCCC,0,training
191,CN(C)C(c1ccccc1)(c1ccccc1)N(C)C,0,training
192,CC(=O)N(O)c1ccc(/C=C/c2ccccc2)cc1,1,training
193,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,0,training
194,ONc1ccc2ccccc2c1,1,training
195,CC(CCl)OC(C)CCl,1,valid
196,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)CC(C)O1,1,training
197,N#[N+][N-]CC(CO)Cc1ccccc1,1,training
198,O=S(=O)(O)CNc1ccc(N=Nc2cccnc2)cc1,0,training
199,[CH2-][N+](C)(C)CCCl,0,training
200,O=C(/C=C/c1ccccc1)c1ccccc1,0,training
201,CN1CCNCC1,0,valid
