,smiles,Mutagenicity,group
0,CN(CCCC(O)c1cccnc1)N=O,1,training
1,CCCC(=O)O,0,training
2,CCO,0,training
3,Nc1ccc(N=Nc2ccc(N)cc2)cc1,1,training
4,C[N-][NH+](C)O,1,training
5,N#C/C(N)=C(\N)C#N,0,valid
6,COc1cccc(N)c1,1,valid
7,Cc1cc(O)c2c(c1O)C(=O)c1cc(O)cc(O)c1C2=O,1,training
8,C1=CC2OC2c2cccnc21,0,training
9,O=[N+]([O-])c1ccc2c(c1)CCc1c-2ccc2c1CCCC2,1,training
10,OC1c2ccc3nc4ccc5ccccc5c4cc3c2C2OC2C1O,1,training
11,Cc1ccc2c(CO)c3ccc4ccccc4c3nc2c1,0,training
12,O=[N+]([O-])c1cc2c3c(c1)CCc1c4c(cc(c1-3)CC2)CCCC4,1,training
13,C[C@@H]1C=Cc2c1ccc1c2ccc2ccccc21,1,training
14,O=C(COc1ccc(Cl)cc1Cl)NC(Cc1c[nH]c2ccccc12)C(=O)O,0,training
15,Clc1cccc(Cl)n1,0,training
16,ClCC1C(CCl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,0,test
17,CC1=C[C@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,1,training
18,N#[N+][N-]CC(=O)O,0,training
19,CC(=O)C1(C)OC12C=Cc1ccccc1C2=O,0,training
20,NCCCN1CCN(CCCN)CC1,0,training
21,CN(C)CCNC(=O)c1cccc2nc(-c3ccccc3)oc12,0,training
22,ClCCC(Br)CBr,0,training
23,Cn1c(NO)nc2ncc(-c3ccccc3)cc21,1,training
24,ClCCSCc1ccccc1,1,test
25,Clc1cccc2ccccc12,1,training
26,c1ccc2c(c1)-c1ccc3c4c1c-2cc1cccc(c14)C1OC31,1,training
27,CC/C=C\C#N,0,training
28,CN[C@H]1C[C@@H](O[C@H]2C[C@@](O)(C(C)=O)Cc3c(O)c4c(c(O)c32)C(=O)c2c(OC)cccc2C4=O)O[C@@H](C)[C@@H]1O,1,training
29,C=C[C@@H]1CC=CCC1,0,training
30,COc1ccc(N=Nc2ccc(N(C)C)cc2)cc1,1,training
31,CC(C)COC(=O)/C=C/c1ccc([N+](=O)[O-])o1,1,test
32,CS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,1,training
33,COCCOC(=O)c1ccccc1C(=O)OCCOC,1,training
34,COc1cc2c(cc1O)CCN[C@]21CSC2c3c(OC(C)=O)c(C)c4c(c3[C@H](COC1=O)N1[C@@H](O)[C@@H]3Cc5cc(C)c(OC)c(O)c5[C@H]([C@H]21)N3C)OCO4,1,training
35,O=C1NC(=O)C(c2ccccc2)(c2ccc(O)cc2)N1,0,training
36,Fc1ccccn1,1,training
37,C[C@@H](O)c1ccc2ccc3cccc4ccc1c2c34,1,training
38,COc1nsc2cc(N)ccc12,1,training
39,O=C1c2ccc(O)cc2-c2ccc(O)c3cccc1c23,1,training
40,CCCCCCCCC=O,0,training
41,Nc1nc(O)nc2c1ncn2C1CC(O)C(CO)O1,0,training
42,Cc1cccc2c1ccc1c3ccccc3ccc21,1,training
43,Cc1cnc2ccc3c(nc(N)n3C)c2n1,1,test
44,C1=C2CCCC(=CC3OC13)O2,0,training
45,CNC(=O)N(O)C(=O)NC,0,training
46,COC(C)CCO,0,training
47,Cc1c(NO)cc([N+](=O)[O-])cc1[N+](=O)[O-],1,valid
48,CCC=O,0,training
49,CNc1ccccc1C(=O)OC,0,test
50,C=C(C)C(C)=O,0,training
51,C=CCOC[C@H]1CO1,1,valid
52,O=[N+]([O-])c1ccc(OCC2CO2)cc1,1,test
53,O=C(/C=C/c1ccc([N+](=O)[O-])o1)N/N=C/c1ccc([N+](=O)[O-])o1,1,training
54,CCCCCCCCCCSCn1cc[n+](C)c1,1,training
55,COC(=O)c1cc2c(c3c1c([N+](=O)[O-])cc1c(OC)cccc13)OCO2,1,training
56,Nc1cc(C(F)(F)F)ccc1Cl,0,valid
57,O=C(Cl)OCC1c2ccccc2-c2ccccc21,1,valid
58,Cc1ccc2c(c1)nc(N)n2C,1,training
59,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,0,training
60,CC(Cl)C(Br)CBr,1,valid
61,Cc1cc(C)c([N+](=O)[O-])cc1[N+](=O)[O-],1,training
62,O=C(O)/C(Cl)=C(\C(=O)O)C(Cl)Cl,1,training
63,Cc1c2ccccc2c(CO)c2ccc3ccccc3c12,1,training
64,Nc1ccc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5ccc(O)c(C(=O)O)c5)cc4)cc3)c(O)c2c1,1,training
65,CCN(CC)C(=S)SSC(=S)N(CC)CC,0,training
66,COC[C@H](O)Cn1ccnc1[N+](=O)[O-],1,training
67,COc1ccc(/C(Br)=C\C(=O)O)cc1,1,training
68,CS/C(C)=N\OC(=O)N(C)N=O,1,training
69,CN1CCOCC1,0,training
70,Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,1,training
71,ClC(Cl)=C(Cl)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0,training
72,Cc1cc2c(c3ccc4ccccc4c13)C1OC1C(O)C2O,0,training
73,O=C(c1ccc([N+](=O)[O-])cc1)[C@H]1O[C@@H]1c1ccccc1,1,valid
74,Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,1,training
75,O=C(C(Cl)Cl)C(Cl)Cl,1,training
76,CN(Cc1ccc(C(=O)O)cc1)N=O,0,training
77,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,0,training
78,O=C(O)/C=C/c1ccc([N+](=O)[O-])o1,1,training
79,ClCc1ccc(Cl)cc1,0,training
80,CCCCN1C2c3ccccc3-c3ccccc3C21,1,training
81,CS(=O)(=O)O,0,valid
82,c1cc2ccc3cc4c(c5ccc(c1)c2c35)C1OC1CC4,1,training
83,O=c1c2[nH]c3ccccc3c2nnn1N=Cc1ccccc1,1,training
84,O=C1c2c(O)ccc(Cl)c2C(=O)c2c(O)ccc(Cl)c21,1,training
85,Cc1cc2c(cc1C)-c1ccccc1C2,0,valid
86,C=C1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C(C)C1C)C23,0,training
