,smiles,hERG,group
0,O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)[C@@H]1CCc2nccc(=O)n21,0,valid
1,CC(=O)NC1CCN(CCc2ccc(Oc3nc4ccccc4s3)cc2)CC1,1,training
2,CCOc1ccc2cc(-c3nn(CC4CCN(C)CC4)c4ncnc(N)c34)ccc2c1,1,training
3,O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(OCCN2CCCC2)cc1,0,training
4,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)c3ccc(F)cn3)cs2)CO1,0,training
5,Cc1cc(Cl)ccc1OC1CCN(C[C@H](O)CNC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1,1,test
6,CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,1,training
7,NC(=O)c1cc(Cl)c2c(Cl)c(C#CC3CCOCC3)n([C@H]3CCCNC3)c2n1,1,training
8,C[C@H](Nc1c(C(N)=O)nnc2ccc(-c3ccc(OCCCN(C)C)nc3)cc12)C1CCOCC1,0,training
9,CCOC(=O)C1=C(CN2CCN(C)CC2C(=O)O)NC(c2nccs2)=NC1c1ccc(F)cc1Br,0,training
10,O=C(NCc1ccc(F)c(C(F)(F)F)c1)C1c2ccccc2C(=O)N1CCc1ncc(F)cn1,0,training
11,Cc1nc2ccccc2c(=O)n1-c1ccc(OC2CCCN(C3CCC3)CC2)cc1,1,test
12,O=C(Nc1ccccc1)Nc1n[nH]c2cc(Cl)c(-c3ccccc3)cc12,0,test
13,CC(C)(C)c1cc(C(=O)NCC2CCN(C(=O)CCCCC(c3ccc(F)cc3)c3ccc(F)cc3)C2)cc(C(C)(C)C)c1,1,test
14,CCCCCCC#Cc1cccc(C#CCCCCCC)[n+]1C,1,training
15,C[C@@H]1CCCN1CCCOc1ccc(C2=NNC(=O)C3CC23)cc1,0,training
16,Cc1cc(C#N)ccc1-c1ccnc(NCc2cc(-c3ccccn3)[nH]n2)c1,1,training
17,Cc1cnc(NC(=O)Nc2cc(Br)c(C)cc2OC[C@@H]2CNCCO2)cn1,0,training
18,CN(C)C(=O)N1N=C(c2cc(F)ccc2F)C[C@@]1(CCCN)c1ccccc1,0,training
19,N/C1=N\C(=O)[C@@H]2CCCN2c2ccc(cc2)OC/C=C/CCCNCC(=O)Nc2c(Cl)cc(cc2Cl)CN1,0,training
20,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,0,training
21,CCN(CCc1c[nH]c2ccccc12)Cc1ccc(/C=C/C(=O)NO)cc1,1,training
22,Cc1nn(-c2ncccc2Cl)cc1CN1CCC2(CC1)OCc1ccccc12,1,training
23,Cc1nc(C)n(-c2cccc([C@H](CC(=O)O)CN3CC[C@@H](CCc4ccc5c(n4)NCCC5)C3)c2)n1,0,training
24,COC(=O)C1CCN(C(=O)c2ccc(CS(=O)(=O)c3ccc4nc(N)sc4c3)cc2)CC1,0,training
25,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccc(F)cc1)c1ccc[n+]([O-])c1,0,training
26,N[C@H]1C[C@@H](N2Cc3cn(S(=O)(=O)C4CC4)nc3C2)CO[C@@H]1c1cc(F)ccc1F,0,training
27,NC(=O)c1nnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc(-n2nccn2)c1,1,training
28,CCNC1=N[C@H]2[C@H](O[C@H](CO)[C@@H](OC)[C@@H]2O)S1,0,training
29,C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,0,training
30,CCn1cc([C@@]2(c3nn(CC)c(=O)o3)N[C@@H](c3nc(-c4ccc(F)cn4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,1,training
31,CCCCOc1ccc(OCCCN2CCOCC2)cc1,0,training
32,Cc1nsc(N2CC3CCC(C2)C3Nc2nc3c(-c4ccc(F)c(F)c4F)cccn3n2)n1,1,training
33,COc1cc2c(cc1OC)Nc1ncnc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)c1NC2,0,training
34,Cc1c(CNC2CCCC2)nn(-c2ccc(Cl)cc2Cl)c1-c1ccc(Cl)cc1,1,test
35,O=C(NC1CC[NH+](Cc2ccc3c(c2)OCO3)CC1)c1cc(=O)c2ccccc2o1,1,training
36,O=C(NCCCCN1CCCCC1)Nc1ccc(-c2ccc(F)cc2)nc1,1,training
37,Cc1ccc2c(n1)[C@H]([C@@H](C)C(=O)Nc1ccc(Cl)c(-c3ccccn3)c1)CC[C@H]2C,0,training
38,COc1cc(N[C@H](C)CCC[NH3+])c2ncccc2c1,0,training
39,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0,test
40,COc1ccc(Cn2c(=O)n3ncnc3c3c4c(sc32)CN(CC2CCOCC2)CC4(F)F)cc1,1,test
41,COc1cccc(NC(=O)c2cnc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)s2)n1,1,training
42,Cc1cnc(-c2ccc3c(c2)CCN(CCCSc2nnc(-c4ccc5[nH]ccc5c4)n2C)CC3)o1,1,training
43,Cc1nn(C2CCN(C(=O)CN)CC2)c(C)c1Nc1ncc(Cl)c(-c2cnn3ccccc23)n1,0,training
44,OC(CNCC(O)C1CCc2cc(F)ccc2O1)C1CCc2cc(F)ccc2O1,1,training
45,COCc1ccc(-c2cc3c(cc2F)ncc2c3n([C@@H](C)C3CCOCC3)c(=O)n2C)cn1,0,training
46,Cn1ncc(NC(=O)c2nc(-c3c(F)cccc3F)sc2N)c1N1CC[C@@H](N)[C@H](F)CC1,1,training
