,smiles,Mutagenicity,group
0,CN(C)CCCNc1c2ccccc2nc2c(N(C)C)ccc([N+](=O)[O-])c12,1,training
1,CCN(CC)C(=S)SSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O,0,test
2,NNc1ccccc1,1,training
3,Cc1nc2c3c(ccc4ccc(O)cc43)ccc2n1C,1,training
4,CC(C)CCOS(C)(=O)=O,1,training
5,O=C1c2cccc(S(=O)(=O)O)c2C(=O)c2cccc([N+](=O)[O-])c21,1,training
6,O=CN(O)c1ccc(Cl)c(Cl)c1,0,test
7,ClCC(Cl)Cl,0,training
8,Oc1ccc(Cl)c(Cl)c1Cl,0,training
9,O=S1(=O)OCCCO1,1,training
10,CN(C)CCNC(=O)c1cccc2oc(-c3ccccc3)nc12,0,training
11,COP(C)(=O)OC,0,training
12,Nc1cc2ccccc2c2ccccc12,1,test
13,Nc1cccc([N+](=O)[O-])c1,1,training
14,CCOP(O)(=NC(C)C)Oc1ccc(SC)c(C)c1,0,training
15,Nc1ccc(N=Nc2ccc(N=Nc3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)c(N=Nc5ccc(N=Nc6ccc(N)cc6N)cc5)c(O)c4c3N)cc2)c(N)c1,1,valid
16,CC(=O)NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)O)c2C(=O)O)C3=O)c1,0,training
17,Nc1ccc([N+](=O)[O-])cc1Cl,1,test
18,Oc1c2ccccc2c2ccc3cccc4ccc1c2c43,1,training
19,N#CCc1ccccc1[NH+]([O-])O,1,test
20,CCOP(=O)(OCC)Oc1cc(C)nc(C(C)C)n1,1,valid
21,O=[N+]([O-])c1ccc(/C=C/c2ccccc2)cc1,1,training
22,COc1cc2c3c(c1OC)-c1cc4c(cc1CC3N(C)CC2)OCO4,1,training
23,FC(F)(F)c1ccc(CCl)cc1,0,training
24,Fc1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12,1,training
25,COc1cccc2sc(N)nc12,1,training
26,CCCCCC(O)/C=C/C=O,0,training
27,Brc1cccc2cc3c(ccc4ccccc43)cc12,1,training
28,CCN(CC)CCn1nc2c3ccc(Cl)cc3sc3c(CO)ccc1c32,1,training
29,Cc1cccc(C(=O)O)c1[N+](=O)[O-],1,valid
30,O=C(O)c1occ(-c2ccccc2)c1-c1ccccc1,0,training
31,O=C(O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl,0,valid
32,Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1N=Nc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,0,training
